quantity,company,product,size,expiry_date,barcode,reference_id,ref_id_expiry_date
5,Boston Scientific,AngioJet AVX (OTW) Thrombectomy Set,50-6F,09-16-2024,0108714729889045172409161031084256,105039-001,105039-001***09-16-2024
1,Boston Scientific,AngioJet Solent Dista (OTW) Thrombectomy Set,145-4F,01-29-2024,0108714729889731172401291029068556,111303-001,111303-001***01-29-2024
1,Boston Scientific,AngioJet Solent Dista (OTW) Thrombectomy Set,145-4F,02-07-2024,0108714729889731172402071029130324,111303-001,111303-001***02-07-2024
1,Boston Scientific,AngioJet Solent Omni (OTW) Thrombectomy Set,120-6F,01-11-2024,0108714729889663172401111028998410,109681-001,109681-001***01-11-2024
1,Boston Scientific,AngioJet Solent Omni (OTW) Thrombectomy Set,120-6F,03-20-2024,0108714729889663172403201029365692,109681-001,109681-001***03-20-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-100-135,06-08-2024,0108714729804154172406081027458840,H74939206051010,H74939206051010***06-08-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-40-135,06-16-2024,0108714729804529172406161027512395,H74939206070410,H74939206070410***06-16-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-100-135,06-21-2024,0108714729804017172406211027538125,H74939206041010,H74939206041010***06-21-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-150-135,06-23-2024,0108714729804185172406231027553867,H74939206051510,H74939206051510***06-23-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-80-135,06-28-2024,0108714729804130172406281027580471,H74939206040810,H74939206040810***06-28-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-60-135,07-01-2024,0108714729825128172407011027599651,H74939206040610,H74939206040610***07-01-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-200-135,07-01-2024,0108714729804086172407011027599666,H74939206042010,H74939206042010***07-01-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-100-135,07-05-2024,0108714729804291172407051027615328,H74939206061010,H74939206061010***07-05-2024
